timestamp,consumption_kwh,temperature,status
2025-11-26 06:13:30,1.286,25.7,normal
2025-11-26 07:13:30,1.641,17.9,normal
2025-11-26 08:13:30,4.508,24.0,normal
2025-11-26 09:13:30,1.064,24.3,normal
2025-11-26 10:13:30,1.099,28.3,normal
2025-11-26 11:13:30,0.911,21.5,normal
2025-11-26 12:13:30,1.064,25.5,normal
2025-11-26 13:13:30,0.895,29.2,normal
2025-11-26 14:13:30,0.969,18.4,normal
2025-11-26 15:13:30,1.081,21.2,normal
2025-11-26 16:13:30,1.035,15.5,normal
2025-11-26 17:13:30,1.905,27.6,normal
2025-11-26 18:13:30,1.966,22.6,normal
2025-11-26 19:13:30,1.975,25.8,normal
2025-11-26 20:13:30,1.561,28.6,normal
2025-11-26 21:13:30,1.621,28.6,normal
2025-11-26 22:13:30,2.489,16.5,normal
2025-11-26 23:13:30,1.159,28.6,normal
2025-11-27 00:13:30,0.427,28.2,normal
2025-11-27 01:13:30,0.466,28.8,normal
2025-11-27 02:13:30,0.472,20.0,normal
2025-11-27 03:13:30,0.542,15.6,normal
2025-11-27 04:13:30,0.935,17.5,normal
2025-11-27 05:13:30,0.534,18.5,normal
2025-11-27 06:13:30,1.47,26.6,normal
2025-11-27 07:13:30,1.412,17.7,normal
2025-11-27 08:13:30,1.324,29.1,normal
2025-11-27 09:13:30,3.418,24.8,normal
2025-11-27 10:13:30,0.936,21.2,normal
2025-11-27 11:13:30,0.841,21.2,normal
2025-11-27 12:13:30,0.902,24.1,normal
2025-11-27 13:13:30,0.966,27.5,normal
2025-11-27 14:13:30,2.269,26.2,normal
2025-11-27 15:13:30,1.056,25.0,normal
2025-11-27 16:13:30,0.822,18.0,normal
2025-11-27 17:13:30,1.842,18.5,normal
2025-11-27 18:13:30,1.727,21.9,normal
2025-11-27 19:13:30,1.77,29.9,normal
2025-11-27 20:13:30,1.947,28.2,normal
2025-11-27 21:13:30,1.953,29.0,normal
2025-11-27 22:13:30,1.038,17.7,normal
2025-11-27 23:13:30,1.242,15.9,normal
2025-11-28 00:13:30,0.47,23.9,normal
2025-11-28 01:13:30,0.48,15.3,normal
2025-11-28 02:13:30,0.448,20.4,normal
2025-11-28 03:13:30,1.787,22.2,normal
2025-11-28 04:13:30,0.549,27.9,normal
2025-11-28 05:13:30,0.456,22.2,normal
2025-11-28 06:13:30,1.284,22.8,normal
2025-11-28 07:13:30,1.577,28.1,normal
2025-11-28 08:13:30,1.647,25.1,normal
2025-11-28 09:13:30,1.053,27.0,normal
2025-11-28 10:13:30,0.827,23.5,normal
2025-11-28 11:13:30,0.878,23.2,normal
2025-11-28 12:13:30,1.082,26.8,normal
2025-11-28 13:13:30,0.924,29.1,normal
2025-11-28 14:13:30,1.045,20.1,normal
2025-11-28 15:13:30,0.984,29.4,normal
2025-11-28 16:13:30,1.103,24.9,normal
2025-11-28 17:13:30,1.741,20.5,normal
2025-11-28 18:13:30,1.573,22.8,normal
2025-11-28 19:13:30,1.877,22.9,normal
2025-11-28 20:13:30,1.845,18.8,normal
2025-11-28 21:13:30,1.584,23.5,normal
2025-11-28 22:13:30,1.012,26.3,normal
2025-11-28 23:13:30,1.155,15.5,normal
2025-11-29 00:13:30,0.597,19.9,normal
2025-11-29 01:13:30,0.566,20.3,normal
2025-11-29 02:13:30,0.476,17.6,normal
2025-11-29 03:13:30,0.587,17.3,normal
2025-11-29 04:13:30,0.558,15.7,normal
2025-11-29 05:13:30,0.595,15.1,normal
2025-11-29 06:13:30,1.469,15.2,normal
2025-11-29 07:13:30,1.48,28.8,normal
2025-11-29 08:13:30,1.406,21.1,normal
2025-11-29 09:13:30,0.91,19.8,normal
2025-11-29 10:13:30,1.102,23.2,normal
2025-11-29 11:13:30,1.154,22.6,normal
2025-11-29 12:13:30,1.108,27.9,normal
2025-11-29 13:13:30,1.04,21.8,normal
